"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.590458120E-1,-4.309562966E-2,-6.703764945E-2,9.917082787E0,9.917403001E0
9.610455450E-1,-3.591302410E-2,-8.379705995E-2,9.914688110E0,9.915107262E0
9.630452780E-1,-2.633621916E-2,-9.097966552E-2,9.907505989E0,9.907958711E0
9.650450110E-1,-9.576806799E-3,-1.005564705E-1,9.921871185E0,9.922385355E0
9.670447440E-1,-1.436521020E-2,-8.379705995E-2,9.926659584E0,9.927023663E0
9.690444770E-1,-1.197100803E-2,-6.224924326E-2,9.900322914E0,9.900525849E0
9.710442770E-1,-1.197100803E-2,-5.746084079E-2,9.847650528E0,9.847825444E0
9.730440770E-1,-4.788403399E-3,-5.027823523E-2,9.809343338E0,9.809473358E0
9.750438100E-1,9.576806799E-3,-4.788403213E-2,9.792584419E0,9.792706174E0
9.770435430E-1,4.788403399E-3,-5.506663769E-2,9.792584419E0,9.792740417E0
9.790432760E-1,7.182605099E-3,-4.788403213E-2,9.771036148E0,9.771156118E0
9.810430090E-1,2.394201700E-3,-3.351882473E-2,9.802161217E0,9.802218818E0
9.830427420E-1,0.000000000E0,-3.351882473E-2,9.823708534E0,9.823765718E0
9.850424750E-1,-7.182605099E-3,-5.267243832E-2,9.838073730E0,9.838217354E0
9.870422410E-1,-2.873042040E-2,-6.464344263E-2,9.866804123E0,9.867057708E0
9.890419740E-1,-1.915361360E-2,-6.224924326E-2,9.890746117E0,9.890960549E0
9.910417070E-1,-4.788403399E-3,-5.027823523E-2,9.914688110E0,9.914816748E0
9.930414400E-1,0.000000000E0,-5.985504389E-2,9.926659584E0,9.926840037E0
9.950411730E-1,-2.394201700E-3,-6.464344263E-2,9.943418503E0,9.943628916E0
9.970409060E-1,-4.788403399E-3,-6.703764945E-2,9.897929192E0,9.898157367E0
9.990406390E-1,-4.788403399E-3,-6.943184882E-2,9.862015724E0,9.862261295E0
1.001040372E0,7.182605099E-3,-5.267243832E-2,9.787796021E0,9.787940382E0
1.003040172E0,1.675941236E-2,-7.182604820E-2,9.739912033E0,9.740191285E0
1.005039905E0,1.675941236E-2,-7.661445439E-2,9.718363762E0,9.718680202E0
1.007039638E0,1.436521020E-2,-6.224924326E-2,9.706393242E0,9.706603479E0
1.009039371E0,9.576806799E-3,-4.548983276E-2,9.713575363E0,9.713686601E0
1.011039104E0,-3.351882473E-2,-2.154781483E-2,9.725546837E0,9.725628468E0
1.013038837E0,-5.027823523E-2,-2.873042040E-2,9.732728958E0,9.732901228E0
