"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.107891570E-1,-2.873042040E-2,9.576806426E-2,9.785401344E0,9.785912141E0
5.127888900E-1,-3.112462163E-2,9.576806426E-2,9.778219223E0,9.778737722E0
5.147886230E-1,-3.351882473E-2,1.005564705E-1,9.780612946E0,9.781187285E0
5.167883560E-1,-4.548983276E-2,9.816227108E-2,9.783007622E0,9.783605843E0
5.187880890E-1,-3.351882473E-2,9.337386489E-2,9.792584419E0,9.793086939E0
5.207878220E-1,-3.112462163E-2,9.816227108E-2,9.797372818E0,9.797913998E0
5.227876220E-1,-4.788403213E-2,1.053448766E-1,9.802161217E0,9.802844227E0
5.247873550E-1,-5.985504389E-2,1.029506698E-1,9.794978142E0,9.795702030E0
5.267870880E-1,-4.070143029E-2,1.005564705E-1,9.785401344E0,9.786002640E0
5.287868210E-1,-4.309562966E-2,9.097966552E-2,9.783007622E0,9.783525574E0
5.307865540E-1,-3.591302410E-2,9.337386489E-2,9.780612946E0,9.781124578E0
5.327862870E-1,-3.351882473E-2,1.053448766E-1,9.783007622E0,9.783632208E0
5.347860200E-1,-4.070143029E-2,1.173158810E-1,9.792584419E0,9.793371699E0
5.367858200E-1,-3.830722719E-2,1.101332754E-1,9.790189743E0,9.790884127E0
5.387856200E-1,-4.309562966E-2,1.053448766E-1,9.790189743E0,9.790851341E0
5.407853530E-1,-3.591302410E-2,1.101332754E-1,9.792584419E0,9.793269561E0
5.427850860E-1,-3.112462163E-2,1.221042871E-1,9.794978142E0,9.795788636E0
5.447848190E-1,-3.351882473E-2,9.576806426E-2,9.792584419E0,9.793110060E0
5.467845520E-1,-3.351882473E-2,8.858546615E-2,9.787796021E0,9.788254279E0
5.487842850E-1,-3.112462163E-2,1.029506698E-1,9.785401344E0,9.785992390E0
5.507840180E-1,-2.873042040E-2,1.005564705E-1,9.787796021E0,9.788354713E0
5.527838180E-1,-3.830722719E-2,1.005564705E-1,9.785401344E0,9.785992975E0
5.547835510E-1,-3.830722719E-2,9.576806426E-2,9.792584419E0,9.793127620E0
5.567832840E-1,-3.830722719E-2,1.005564705E-1,9.799766541E0,9.800357305E0
5.587830170E-1,-3.830722719E-2,1.005564705E-1,9.792584419E0,9.793175616E0
5.607827500E-1,-4.070143029E-2,9.576806426E-2,9.787796021E0,9.788349149E0
5.627824830E-1,-4.309562966E-2,1.029506698E-1,9.787796021E0,9.788432306E0
5.647822160E-1,-2.633621916E-2,1.101332754E-1,9.792584419E0,9.793239124E0
5.667817820E-1,-3.591302410E-2,1.149216816E-1,9.787796021E0,9.788536544E0
5.687815820E-1,-4.309562966E-2,9.337386489E-2,9.783007622E0,9.783548131E0
5.707809150E-1,-4.309562966E-2,9.576806426E-2,9.790189743E0,9.790752982E0
5.727806480E-1,-3.830722719E-2,1.005564705E-1,9.797372818E0,9.797963726E0
5.747803810E-1,-2.873042040E-2,8.619125932E-2,9.785401344E0,9.785823105E0
5.767801140E-1,-3.351882473E-2,8.619125932E-2,9.783007622E0,9.783444719E0
5.787798470E-1,-4.070143029E-2,7.422025502E-2,9.790189743E0,9.790555677E0
5.807795800E-1,-3.591302410E-2,7.661445439E-2,9.785401344E0,9.785767164E0
5.827793130E-1,-3.351882473E-2,8.619125932E-2,9.780612946E0,9.781050150E0
5.847791130E-1,-3.591302410E-2,9.337386489E-2,9.787796021E0,9.788307278E0
5.867788790E-1,-3.351882473E-2,9.097966552E-2,9.790189743E0,9.790669845E0
5.887786450E-1,-2.873042040E-2,8.379705995E-2,9.787796021E0,9.788196888E0
5.907782780E-1,-1.915361360E-2,8.858546615E-2,9.780612946E0,9.781032861E0
5.927780440E-1,-1.675941236E-2,8.858546615E-2,9.775824547E0,9.776240271E0
5.947778100E-1,-2.394201607E-2,7.661445439E-2,9.780612946E0,9.780942316E0
5.967775760E-1,-3.591302410E-2,8.379705995E-2,9.787796021E0,9.788220606E0
5.987773420E-1,-4.070143029E-2,8.858546615E-2,9.794978142E0,9.795463276E0
6.007771750E-1,-5.027823523E-2,9.576806426E-2,9.794978142E0,9.795575339E0
6.027769410E-1,-5.506663769E-2,1.005564705E-1,9.787796021E0,9.788467443E0
6.047767070E-1,-3.112462163E-2,9.576806426E-2,9.802161217E0,9.802678449E0
6.067764730E-1,-2.873042040E-2,9.816227108E-2,9.787796021E0,9.788330410E0
6.087762390E-1,-2.633621916E-2,8.379705995E-2,9.806949615E0,9.807342979E0
6.107760050E-1,-2.633621916E-2,7.900865376E-2,9.797372818E0,9.797726782E0
6.127757710E-1,-2.154781483E-2,8.858546615E-2,9.785401344E0,9.785826034E0
6.147756040E-1,-1.436521020E-2,9.576806426E-2,9.794978142E0,9.795456839E0
